# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 2 | avgC: 2.275 avgA: 7.22083 avgB: 34.6542 MNR: 0.224229 GNR: 0.0982841 DICE: 0.0726892
chA: 0 chB: 3 | avgC: 2.02917 avgA: 7.22083 avgB: 127.733 MNR: 0.217706 GNR: 0.0494288 DICE: 0.023855
chA: 0 chB: 4 | avgC: 0.697479 avgA: 7.26891 avgB: 18.0462 MNR: 0.07107 GNR: 0.040203 DICE: 0.0343873
chA: 1 chB: 2 | avgC: 3.11576 avgA: 52.4277 avgB: 28.9678 MNR: 0.087534 GNR: 0.0497799 DICE: 0.0427454
chA: 1 chB: 3 | avgC: 30.537 avgA: 52.4277 avgB: 103.942 MNR: 0.445889 GNR: 0.245829 DICE: 0.208588
chA: 1 chB: 4 | avgC: 2.96853 avgA: 56.8706 avgB: 15.6014 MNR: 0.131554 GNR: 0.0755237 DICE: 0.0647643
chA: 2 chB: 3 | avgC: 6.66761 avgA: 26.0369 avgB: 92.7188 MNR: 0.155464 GNR: 0.0838129 DICE: 0.0700138
chA: 2 chB: 4 | avgC: 2.21959 avgA: 30.2027 avgB: 15.1081 MNR: 0.0993137 GNR: 0.0703067 DICE: 0.0659725
chA: 3 chB: 4 | avgC: 6.53378 avgA: 108.689 avgB: 15.1081 MNR: 0.266736 GNR: 0.105799 DICE: 0.074278

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.65534 avgA: 8.59223 avgB: 76.0777 MNR: 0.0602322 GNR: 0.0176882 DICE: 0.010386
chA: 0 chB: 2 | avgC: 2.8301 avgA: 8.59223 avgB: 36.1553 MNR: 0.255039 GNR: 0.114719 DICE: 0.0863956
chA: 0 chB: 3 | avgC: 2.47573 avgA: 8.59223 avgB: 140.015 MNR: 0.287848 GNR: 0.061273 DICE: 0.0274503
chA: 0 chB: 4 | avgC: 0.946602 avgA: 8.59223 avgB: 23.3981 MNR: 0.121197 GNR: 0.0589953 DICE: 0.0470849
chA: 1 chB: 2 | avgC: 3.09804 avgA: 53.5588 avgB: 27.585 MNR: 0.0860255 GNR: 0.0532892 DICE: 0.0473178
chA: 1 chB: 3 | avgC: 31.5621 avgA: 53.5588 avgB: 102.255 MNR: 0.420485 GNR: 0.241803 DICE: 0.20886
chA: 1 chB: 4 | avgC: 2.73267 avgA: 54.0627 avgB: 17.5677 MNR: 0.109027 GNR: 0.0593529 DICE: 0.0497107
chA: 2 chB: 3 | avgC: 7.74603 avgA: 26.9683 avgB: 99.4349 MNR: 0.169832 GNR: 0.0889739 DICE: 0.0734957
chA: 2 chB: 4 | avgC: 1.84026 avgA: 27.1182 avgB: 17.0895 MNR: 0.0686291 GNR: 0.0505994 DICE: 0.0480584
chA: 3 chB: 4 | avgC: 5.92258 avgA: 100.987 avgB: 17.2323 MNR: 0.207196 GNR: 0.0828625 DICE: 0.0584002

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.609649 avgA: 8.27193 avgB: 69.5219 MNR: 0.0536743 GNR: 0.0147498 DICE: 0.00794858
chA: 0 chB: 2 | avgC: 2.48413 avgA: 7.99603 avgB: 37.8651 MNR: 0.299373 GNR: 0.149253 DICE: 0.119765
chA: 0 chB: 3 | avgC: 1.76892 avgA: 8.01992 avgB: 110.004 MNR: 0.167912 GNR: 0.039379 DICE: 0.0196886
chA: 0 chB: 4 | avgC: 0.821429 avgA: 7.99603 avgB: 22.3254 MNR: 0.123758 GNR: 0.0679285 DICE: 0.0575254
chA: 1 chB: 2 | avgC: 3.43377 avgA: 54.1854 avgB: 32.9338 MNR: 0.128472 GNR: 0.0716244 DICE: 0.0614713
chA: 1 chB: 3 | avgC: 31.1595 avgA: 54.3621 avgB: 97.7176 MNR: 0.375809 GNR: 0.241626 DICE: 0.218455
chA: 1 chB: 4 | avgC: 2.77966 avgA: 55.3695 avgB: 19.4915 MNR: 0.124036 GNR: 0.0623463 DICE: 0.0502981
chA: 2 chB: 3 | avgC: 7.11343 avgA: 31.3194 avgB: 88.3851 MNR: 0.170216 GNR: 0.0957433 DICE: 0.08139
chA: 2 chB: 4 | avgC: 2.03927 avgA: 31.6073 avgB: 18.1662 MNR: 0.100346 GNR: 0.0750668 DICE: 0.0714412
chA: 3 chB: 4 | avgC: 5.22936 avgA: 90.2875 avgB: 18.3364 MNR: 0.169371 GNR: 0.06823 DICE: 0.0481996

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.398374 avgA: 4.88347 avgB: 52.0406 MNR: 0.0414828 GNR: 0.0172835 DICE: 0.0131215
chA: 0 chB: 2 | avgC: 2.01084 avgA: 4.88347 avgB: 34.4092 MNR: 0.448946 GNR: 0.130834 DICE: 0.0780239
chA: 0 chB: 3 | avgC: 1.8103 avgA: 4.88347 avgB: 112.377 MNR: 0.457228 GNR: 0.0749728 DICE: 0.0288947
chA: 0 chB: 4 | avgC: 0.539295 avgA: 4.88347 avgB: 16.4173 MNR: 0.0599153 GNR: 0.0338444 DICE: 0.0290193
chA: 1 chB: 2 | avgC: 3.50901 avgA: 45.0653 avgB: 31.7455 MNR: 0.134761 GNR: 0.0902254 DICE: 0.0826719
chA: 1 chB: 3 | avgC: 25.7545 avgA: 45.0653 avgB: 102.16 MNR: 0.458039 GNR: 0.246741 DICE: 0.206911
chA: 1 chB: 4 | avgC: 2.5079 avgA: 45.1264 avgB: 14.6862 MNR: 0.140901 GNR: 0.079386 DICE: 0.0677879
chA: 2 chB: 3 | avgC: 8.76854 avgA: 31.6854 avgB: 101.944 MNR: 0.236372 GNR: 0.132119 DICE: 0.112452
chA: 2 chB: 4 | avgC: 1.97065 avgA: 31.781 avgB: 14.6862 MNR: 0.107122 GNR: 0.0707064 DICE: 0.0647304
