========== 01 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          40.122      40.449       8.062      17.381      68.348        3654
Total Init                      3933.143    3933.143       0.000    3933.143    3933.143           1
Pipeline                         175.999     175.628      17.485     122.259     330.317        3669
SuperPoint Extract               115.374     124.448      24.955      64.062     279.879        3669
KAZE Extract                     124.543     125.843      11.646      91.462     183.522        3669
SIFT Extract                      35.716      33.599      10.405      21.799      92.576        3669
Correlation                        5.021       5.077       1.069       2.760       9.321        3654
AKAZE Extract                     25.696      24.959       4.809      16.903      48.581        3669
BRISK Extract                     52.174      51.082       8.496      30.099      79.807        3669
ORB Extract                        8.146       8.047       1.175       5.034      16.147        3669

========== 02 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          39.929      40.279       8.362      17.602      66.847        3654
Total Init                      3714.761    3714.761       0.000    3714.761    3714.761           1
Pipeline                         174.998     177.245      18.784     119.479     329.499        3669
SuperPoint Extract               125.565     131.053      19.993      64.967     290.591        3669
KAZE Extract                     114.378     110.141      12.137      95.948     184.111        3669
SIFT Extract                      34.595      29.760      10.990      22.595      88.854        3669
Correlation                        5.027       5.044       1.134       2.550      10.147        3654
AKAZE Extract                     26.272      25.971       5.311      16.329      51.712        3669
BRISK Extract                     52.480      51.550       8.602      31.477      78.093        3669
ORB Extract                        8.690       8.702       1.297       5.417      15.164        3669

========== 03 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          39.690      39.903       8.306      17.209      68.046        3654
Total Init                      3769.215    3769.215       0.000    3769.215    3769.215           1
Pipeline                         176.340     177.301      17.696     122.979     322.618        3669
SuperPoint Extract               122.138     130.548      23.770      66.067     293.934        3669
KAZE Extract                     121.468     121.979      10.860      93.668     178.548        3669
SIFT Extract                      33.524      30.125       9.458      22.041      90.377        3669
Correlation                        5.029       5.063       1.142       2.556       9.245        3654
AKAZE Extract                     25.637      25.022       5.113      16.734      49.416        3669
BRISK Extract                     51.809      50.861       8.452      31.355      78.064        3669
ORB Extract                        8.255       8.153       1.142       5.386      12.888        3669

========== 04 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          39.715      40.102       8.116      16.699      67.571        3654
Total Init                      3730.895    3730.895       0.000    3730.895    3730.895           1
Pipeline                         175.625     174.999      17.890     132.287     337.998        3669
SuperPoint Extract               117.557     126.408      24.995      67.132     274.312        3669
KAZE Extract                     123.379     122.028       8.484     101.268     189.733        3669
SIFT Extract                      31.331      30.168       5.567      22.742      97.873        3669
Correlation                        5.052       5.112       1.132       2.758      10.055        3654
AKAZE Extract                     25.292      24.866       4.939      16.359      48.648        3669
BRISK Extract                     51.958      51.046       8.538      31.337      82.280        3669
ORB Extract                        8.167       8.112       1.031       5.315      14.518        3669

========== 05 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          39.769      40.124       8.188      17.864      69.014        3654
Total Init                      3695.154    3695.154       0.000    3695.154    3695.154           1
Pipeline                         176.366     177.587      16.739     120.114     321.108        3669
SuperPoint Extract               126.939     131.590      19.566      65.938     265.685        3669
KAZE Extract                     119.573     118.001      11.746      97.863     184.380        3669
SIFT Extract                      33.792      30.247       9.893      22.749     104.444        3669
Correlation                        5.013       5.058       1.079       2.630       8.878        3654
AKAZE Extract                     26.253      26.132       5.246      16.328      49.320        3669
BRISK Extract                     52.139      51.340       8.691      30.135      82.956        3669
ORB Extract                        8.428       8.308       1.223       5.320      14.770        3669

========== 06 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          39.197      39.410       8.189      16.714      70.147        3654
Total Init                      3699.240    3699.240       0.000    3699.240    3699.240           1
Pipeline                         176.601     177.881      16.517     123.840     322.014        3669
SuperPoint Extract               126.409     132.172      21.220      66.457     269.770        3669
KAZE Extract                     120.481     121.456      11.717      91.088     182.417        3669
SIFT Extract                      34.255      30.566      10.093      22.832      97.666        3669
Correlation                        4.942       4.926       1.136       2.511       9.676        3654
AKAZE Extract                     25.822      25.243       5.130      16.321      46.943        3669
BRISK Extract                     51.962      51.255       8.526      31.445      81.553        3669
ORB Extract                        8.383       8.265       1.195       5.277      14.272        3669

========== 07 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          39.827      39.973       8.531      17.840      67.190        3654
Total Init                      3730.481    3730.481       0.000    3730.481    3730.481           1
Pipeline                         174.009     173.886      18.055     122.914     320.839        3669
SuperPoint Extract               110.726     105.050      24.929      65.463     274.683        3669
KAZE Extract                     125.136     125.702      10.871      94.697     191.595        3669
SIFT Extract                      34.980      33.030       9.637      22.362      97.189        3669
Correlation                        4.912       4.950       1.064       2.337       9.475        3654
AKAZE Extract                     25.689      24.912       5.194      16.665      48.411        3669
BRISK Extract                     52.316      51.432       8.625      32.025      81.788        3669
ORB Extract                        8.151       8.023       1.116       5.212      13.046        3669

========== 08 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          39.345      39.566       8.326      18.243      69.370        3654
Total Init                      3784.270    3784.270       0.000    3784.270    3784.270           1
Pipeline                         173.898     173.166      16.002     121.745     345.708        3669
SuperPoint Extract               125.285     128.292      17.227      70.977     295.200        3669
KAZE Extract                     118.340     116.634      12.632      93.491     191.226        3669
SIFT Extract                      34.436      30.086      10.731      22.202      91.742        3669
Correlation                        4.910       4.946       1.056       2.592       8.975        3654
AKAZE Extract                     26.605      26.536       5.450      16.490      56.225        3669
BRISK Extract                     52.496      51.515       8.962      31.648      95.831        3669
ORB Extract                        8.584       8.524       1.221       5.379      14.437        3669

========== 09 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          39.280      40.159       7.985      17.722      67.315        3654
Total Init                      3661.904    3661.904       0.000    3661.904    3661.904           1
Pipeline                         173.192     175.506      19.831     118.771     328.196        3669
SuperPoint Extract               120.697     129.096      23.310      67.407     276.349        3669
KAZE Extract                     116.831     112.853      12.348      95.508     196.278        3669
SIFT Extract                      36.004      30.872      11.773      21.205      97.926        3669
Correlation                        4.948       4.997       1.081       2.444      10.331        3654
AKAZE Extract                     27.186      27.188       5.566      16.537      49.122        3669
BRISK Extract                     53.127      52.283       8.720      32.123      77.703        3669
ORB Extract                        8.640       8.613       1.290       5.494      14.995        3669

========== 10 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          40.080      39.735       8.575      17.232      70.257        3654
Total Init                      3745.104    3745.104       0.000    3745.104    3745.104           1
Pipeline                         176.795     176.999      18.913     122.809     323.507        3669
SuperPoint Extract               120.305     127.878      24.303      67.498     282.067        3669
KAZE Extract                     124.788     124.704      10.450      98.212     191.678        3669
SIFT Extract                      33.378      30.892       8.426      22.947      87.071        3669
Correlation                        4.973       4.997       1.077       2.623       9.666        3654
AKAZE Extract                     25.959      25.047       5.354      16.775      46.740        3669
BRISK Extract                     52.916      52.165       8.798      33.407      83.292        3669
ORB Extract                        8.391       8.276       1.099       5.635      13.717        3669

========== 11 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          39.375      39.572       8.248      17.359      69.442        3654
Total Init                      3670.089    3670.089       0.000    3670.089    3670.089           1
Pipeline                         173.136     171.790      17.498     118.347     308.763        3669
SuperPoint Extract               124.906     126.680      18.536      66.480     273.169        3669
KAZE Extract                     117.862     116.853      11.777      93.384     196.819        3669
SIFT Extract                      32.908      29.321       9.467      22.475      96.357        3669
Correlation                        4.927       4.927       1.079       2.752      10.602        3654
AKAZE Extract                     26.186      26.525       5.460      16.549      50.284        3669
BRISK Extract                     52.185      51.574       8.777      30.563      81.238        3669
ORB Extract                        8.487       8.385       1.205       5.552      16.396        3669

========== 12 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          40.154      41.036       8.585      17.746      71.613        3654
Total Init                      3734.044    3734.044       0.000    3734.044    3734.044           1
Pipeline                         176.988     176.995      18.654     119.090     360.419        3669
SuperPoint Extract               127.612     131.189      20.122      66.830     336.466        3669
KAZE Extract                     119.070     117.844      11.526      90.906     190.471        3669
SIFT Extract                      33.928      30.187       9.815      22.982     104.029        3669
Correlation                        4.990       5.047       1.117       2.649       9.959        3654
AKAZE Extract                     26.887      27.344       5.340      17.172      47.277        3669
BRISK Extract                     53.043      52.289       8.637      33.257      86.544        3669
ORB Extract                        8.624       8.541       1.181       5.345      15.146        3669

========== 13 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          39.087      39.649       8.206      17.116      70.961        3654
Total Init                      3709.439    3709.439       0.000    3709.439    3709.439           1
Pipeline                         176.643     175.475      16.116     135.984     324.498        3669
SuperPoint Extract               128.243     130.763      18.438      66.826     298.700        3669
KAZE Extract                     123.509     124.465      11.842      89.627     200.096        3669
SIFT Extract                      34.873      31.719      10.276      22.746      99.217        3669
Correlation                        4.911       4.919       1.106       2.468      10.069        3654
AKAZE Extract                     25.801      24.961       5.246      17.165      47.710        3669
BRISK Extract                     52.474      51.726       8.652      32.261      79.002        3669
ORB Extract                        8.315       8.176       1.135       5.235      14.373        3669

========== 14 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          41.331      41.470       9.186      17.847      76.252        3654
Total Init                      3782.640    3782.640       0.000    3782.640    3782.640           1
Pipeline                         178.328     175.309      19.427     132.738     365.685        3669
SuperPoint Extract               119.835     123.886      24.161      69.777     331.966        3669
KAZE Extract                     127.449     126.345       8.967      97.149     180.860        3669
SIFT Extract                      32.764      32.171       5.645      22.075      92.592        3669
Correlation                        4.999       4.996       1.133       2.498      10.524        3654
AKAZE Extract                     25.519      24.848       5.249      16.905      48.315        3669
BRISK Extract                     52.621      52.036       8.662      31.898      80.971        3669
ORB Extract                        8.224       8.113       1.075       5.118      13.623        3669

========== 15 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          41.285      41.501       9.056      17.281      73.234        3654
Total Init                      3738.093    3738.093       0.000    3738.093    3738.093           1
Pipeline                         174.213     173.951      20.760     121.801     341.492        3669
SuperPoint Extract               113.897     109.247      23.087      69.650     288.454        3669
KAZE Extract                     121.074     117.134      13.515      95.457     203.599        3669
SIFT Extract                      37.929      32.484      12.704      23.191      95.156        3669
Correlation                        5.056       5.096       1.168       2.572      11.647        3654
AKAZE Extract                     28.214      27.953       6.191      17.429      52.560        3669
BRISK Extract                     54.305      53.359       9.076      32.275      87.701        3669
ORB Extract                        8.766       8.692       1.304       5.297      17.333        3669

========== 16 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          40.225      39.960       8.772      18.008      71.944        3654
Total Init                      4097.283    4097.283       0.000    4097.283    4097.283           1
Pipeline                         174.437     172.789      19.702     124.700     382.701        3669
SuperPoint Extract               120.244     125.133      23.081      67.595     331.714        3669
KAZE Extract                     119.575     119.112      11.978      90.592     171.995        3669
SIFT Extract                      36.021      31.872      11.537      22.596      94.715        3669
Correlation                        4.971       4.965       1.141       2.486      10.902        3654
AKAZE Extract                     26.833      26.716       5.746      16.156      48.758        3669
BRISK Extract                     53.298      52.819       8.620      32.850      78.993        3669
ORB Extract                        8.570       8.437       1.247       5.793      15.282        3669

========== 17 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          40.438      40.895       8.311      18.007      68.165        3654
Total Init                      3791.138    3791.138       0.000    3791.138    3791.138           1
Pipeline                         177.068     178.086      17.955     123.852     353.798        3669
SuperPoint Extract               123.606     130.890      22.758      65.225     294.612        3669
