========== 01 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Pipeline                         187.678     186.352      26.361     130.057     355.548         798
SuperPoint Extract               129.957     134.971      21.055      76.431     287.527         798
KAZE Extract                     122.996     123.829      14.970      89.821     190.114         798
SIFT Extract                      37.665      33.097      13.248      22.138     100.418         798
Correlation                        5.667       5.850       1.775       1.985      10.930         782
AKAZE Extract                     26.947      26.247       5.545      17.179      47.558         798
BRISK Extract                     49.488      49.797       9.106      25.013      72.773         798
ORB Extract                        8.357       8.233       1.177       5.580      12.361         798

========== 11 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          45.371      47.446      10.750      19.124      74.682         782
Total Init                      4772.968    4772.968       0.000    4772.968    4772.968           1
Pipeline                         191.875     190.489      27.509     124.565     370.134         798
SuperPoint Extract               132.543     136.941      22.329      74.255     304.201         798
KAZE Extract                     126.611     126.538      13.118      99.333     196.958         798
SIFT Extract                      35.318      32.889      10.132      23.121      84.016         798
Correlation                        5.764       6.075       1.770       1.625      10.825         782
AKAZE Extract                     26.645      25.962       5.587      17.435      48.521         798
BRISK Extract                     49.249      49.455       8.963      21.974      73.258         798
ORB Extract                        8.182       8.081       1.093       5.684      12.929         798

========== 12 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          43.437      44.931      11.921      14.925      74.608         777
Total Init                      5977.140    5977.140       0.000    5977.140    5977.140           1
Pipeline                         187.520     187.091      29.555     123.789     337.167         798
SuperPoint Extract               130.904     134.745      22.137      71.128     307.624         798
KAZE Extract                     122.525     123.204      14.896      98.621     212.920         798
SIFT Extract                      38.610      34.146      13.567      23.197     116.032         798
Correlation                        5.427       5.589       1.797       1.855      11.447         777
AKAZE Extract                     27.294      26.800       5.770      17.294      48.169         798
BRISK Extract                     49.462      49.742       9.055      24.392      70.667         798
ORB Extract                        8.403       8.283       1.276       5.595      13.696         798

========== 13 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          43.174      44.657      10.483      19.431      74.231         782
Total Init                      4826.380    4826.380       0.000    4826.380    4826.380           1
Pipeline                         184.200     180.149      29.265     128.712     394.497         798
SuperPoint Extract               127.924     131.732      22.739      65.743     304.161         798
KAZE Extract                     118.531     113.297      14.957      97.572     178.967         798
SIFT Extract                      37.620      32.350      13.056      22.404     106.374         798
Correlation                        5.545       5.747       1.720       1.956      13.471         782
AKAZE Extract                     27.723      27.296       5.857      16.772      50.926         798
BRISK Extract                     49.945      50.193       9.169      22.974      72.714         798
ORB Extract                        8.623       8.566       1.294       5.689      14.032         798

========== 14 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          44.428      46.145      10.972      18.498      81.268         782
Total Init                      4691.046    4691.046       0.000    4691.046    4691.046           1
Pipeline                         185.586     183.196      28.314     123.011     397.226         798
SuperPoint Extract               122.996     126.596      25.532      63.415     372.761         798
KAZE Extract                     125.564     126.976      14.283      89.971     183.465         798
SIFT Extract                      36.366      32.909      12.142      21.969      90.043         798
Correlation                        5.603       5.823       1.722       1.903      12.399         782
AKAZE Extract                     26.877      26.239       5.900      17.102      47.680         798
BRISK Extract                     49.528      49.743       9.265      21.726      75.528         798
ORB Extract                        8.269       8.127       1.162       5.607      13.738         798

========== 15 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          44.319      46.024      10.435      19.991      68.927         782
Total Init                      4810.139    4810.139       0.000    4810.139    4810.139           1
Pipeline                         186.084     182.153      29.695     127.405     383.470         798
SuperPoint Extract               126.184     130.084      23.664      70.679     317.268         798
KAZE Extract                     122.022     120.126      14.746      97.066     227.031         798
SIFT Extract                      35.744      31.574      10.987      22.786      81.340         798
Correlation                        5.589       5.864       1.691       1.642      10.389         782
AKAZE Extract                     26.865      26.219       5.758      16.625      47.972         798
BRISK Extract                     50.060      50.235       9.419      22.930      85.870         798
ORB Extract                        8.477       8.372       1.190       5.685      12.491         798

========== 16 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          43.013      44.399      10.358      19.728      79.048         782
Total Init                      4828.875    4828.875       0.000    4828.875    4828.875           1
Pipeline                         187.340     183.504      28.491     145.651     390.074         798
SuperPoint Extract               124.331     129.694      26.485      67.480     294.825         798
KAZE Extract                     129.392     128.325       8.760     110.289     185.784         798
SIFT Extract                      34.239      34.255       5.207      23.625      73.167         798
Correlation                        5.536       5.794       1.649       1.913      12.790         782
AKAZE Extract                     25.631      24.544       5.091      17.725      44.932         798
BRISK Extract                     49.401      49.827       9.039      22.679      74.489         798
ORB Extract                        8.154       8.012       1.099       5.315      15.117         798

========== 17 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          44.078      45.317      11.031      18.496      79.216         782
Total Init                      4746.740    4746.740       0.000    4746.740    4746.740           1
Pipeline                         187.174     183.350      29.552     128.684     391.339         798
SuperPoint Extract               128.634     131.675      23.795      73.957     299.421         798
KAZE Extract                     122.864     124.398      14.428      94.738     185.290         798
SIFT Extract                      38.000      34.311      12.765      22.222      85.225         798
Correlation                        5.633       5.903       1.761       1.736      12.342         782
AKAZE Extract                     27.448      27.043       5.751      17.074      44.271         798
BRISK Extract                     49.695      49.387       9.024      21.528      72.635         798
ORB Extract                        8.412       8.307       1.221       5.786      13.638         798

========== 18 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          43.209      44.774      10.389      18.640      70.662         782
Total Init                      4664.268    4664.268       0.000    4664.268    4664.268           1
Pipeline                         187.110     187.629      28.886     123.434     393.193         798
SuperPoint Extract               133.299     137.439      21.371      64.885     323.407         798
KAZE Extract                     115.010     110.472      13.431      96.750     177.170         798
SIFT Extract                      35.710      30.633      11.264      23.568      91.454         798
Correlation                        5.569       5.848       1.700       1.690      10.168         782
AKAZE Extract                     27.739      27.518       5.811      17.552      51.680         798
BRISK Extract                     50.010      50.795       9.115      23.754      74.973         798
ORB Extract                        8.841       8.803       1.305       5.636      15.555         798

========== 19 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          43.439      43.669      10.489      19.508      72.643         782
Total Init                      4784.791    4784.791       0.000    4784.791    4784.791           1
Pipeline                         188.921     187.489      26.778     129.224     382.340         798
SuperPoint Extract               130.502     136.348      22.220      76.596     305.257         798
KAZE Extract                     126.280     126.360      11.593      99.570     182.179         798
SIFT Extract                      35.180      33.665       8.704      23.502      82.606         798
Correlation                        5.576       5.737       1.699       1.999      10.990         782
AKAZE Extract                     25.665      24.855       5.174      16.556      42.430         798
BRISK Extract                     49.152      49.342       9.158      22.640      71.744         798
ORB Extract                        8.163       8.034       1.156       5.554      13.417         798

========== 20 Performance Summary (ms) ==========
