========== 01 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                           6.065       5.385       2.834       2.807      24.930         445
Total Init                      8310.814    8310.814       0.000    8310.814    8310.814           1
Pipeline                         134.616     122.918      41.499     101.321     336.674         474
SuperPoint Extract                87.687      85.342      15.657      59.926     283.490         474
KAZE Extract                     115.839     113.990      11.876      93.555     174.152         474
SIFT Extract                      35.413      31.283      11.681      24.065      97.657         474
Correlation                        0.359       0.236       0.319       0.064       1.855         445
AKAZE Extract                     26.895      25.809       5.867      17.980      44.613         474
BRISK Extract                     26.867      25.773       8.263       8.405      46.413         474
ORB Extract                        4.067       3.979       0.829       2.158       9.166         474

========== 02 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                           6.550       5.068       4.384       1.826      27.051         445
Total Init                      8145.916    8145.916       0.000    8145.916    8145.916           1
Pipeline                         136.580     128.779      40.165      99.554     328.409         474
SuperPoint Extract                84.785      81.922      15.531      61.040     279.087         474
KAZE Extract                     117.760     119.259      10.403      92.830     156.799         474
SIFT Extract                      36.523      33.435      11.098      23.321      93.648         474
Correlation                        0.317       0.188       0.305       0.048       1.423         442
AKAZE Extract                     26.690      25.540       5.848      17.364      44.511         474
BRISK Extract                     26.650      25.390       8.562       7.375      47.861         474
ORB Extract                        3.989       3.908       0.728       2.349       7.503         474

========== 03 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          14.975       8.926      11.113       2.205      43.314         445
Total Init                      8307.796    8307.796       0.000    8307.796    8307.796           1
Pipeline                         147.926     138.301      40.470     103.354     336.663         474
SuperPoint Extract                86.547      81.941      17.778      61.273     277.666         474
KAZE Extract                     120.112     122.731      10.202      94.178     155.041         474
SIFT Extract                      38.147      35.116      11.634      24.357      99.257         474
Correlation                        0.339       0.175       0.355       0.041       1.812         323
AKAZE Extract                     26.073      25.080       5.618      17.496      53.431         474
BRISK Extract                     26.320      25.146       8.304       8.899      48.445         474
ORB Extract                        3.859       3.756       0.737       2.307       6.855         474

========== 04 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          14.508       8.403      10.533       3.575      39.695         445
Total Init                      8140.799    8140.799       0.000    8140.799    8140.799           1
Pipeline                         141.295     132.969      40.474     102.931     340.415         474
SuperPoint Extract                88.645      84.294      17.092      59.115     281.347         474
KAZE Extract                     113.894     110.882      11.017      95.026     164.471         474
SIFT Extract                      37.554      32.026      11.628      24.138      85.312         474
Correlation                        0.354       0.190       0.349       0.046       1.789         320
AKAZE Extract                     27.726      26.803       6.303      16.855      51.131         474
BRISK Extract                     26.919      25.866       8.494       8.071      47.018         474
ORB Extract                        4.064       3.930       0.832       2.201      10.382         474

========== 05 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          13.505       7.994       9.977       1.928      39.023         445
Total Init                      8203.359    8203.359       0.000    8203.359    8203.359           1
Pipeline                         143.412     135.100      40.546     104.275     310.973         474
SuperPoint Extract                88.405      83.617      18.483      56.643     276.236         474
KAZE Extract                     116.510     117.267      10.349      95.631     150.603         474
SIFT Extract                      36.699      33.048      11.716      24.060     100.776         474
Correlation                        0.322       0.207       0.340       0.015       1.530         355
AKAZE Extract                     26.977      25.874       6.068      17.711      49.064         474
BRISK Extract                     26.816      25.409       8.548       7.914      48.715         474
ORB Extract                        4.052       3.982       0.800       2.348       8.832         474

========== 06 Performance Summary (ms) ==========
name                                mean      median        rmse         min         max       count
Tracking                          15.298       9.272      10.826       3.565      38.386         445
Total Init                      8301.166    8301.166       0.000    8301.166    8301.166           1
